Township,Temperature,Precipitation,SynCanLR,SynCanLAS,SynCanRF,SynCanGBR,SynCanXGB,SynCanSVR
E1-03-004,26.17331498,87.05590909,40.51425540786715,40.54222187824604,50.04252474440004,50.52769052457179,49.646572,50.725786822178605
E1-03-005,26.10480825,86.81,40.77282676339918,40.7996598368682,49.138321608300046,50.269715940248986,49.52077,50.40028096249097
E1-03-006,26.09566192,86.60272727,40.81152939337181,40.83803230717531,49.16858245290005,50.269715940248986,49.52077,50.32100538830913
E1-03-007,26.15508587,86.47045455,40.5955223954327,40.62265414550773,49.736488596100045,49.285955534145735,49.66376,50.55369533559809
E1-03-008,26.12602346,86.01409091,40.71365265247465,40.739942665913176,49.09273280490005,50.269715940248986,49.60842,50.33711580194538
E1-03-009,26.23119143,84.99181818,40.350255419883155,40.37685029077326,49.78158518890005,50.11800200044855,49.506306,50.498050274541136
E1-03-010,27.19444391,84.01090909,36.82093914172752,36.85891988536037,44.092401484600025,42.56295457629044,42.245384,49.32773993642868
E1-03-011,26.90427953,83.02863636,37.91471270268551,37.947953660466126,44.10737553660003,43.53268949313317,42.620285,50.03630459081989
E1-03-012,26.46977375,81.90045455,39.54436678956683,39.57086153034861,44.93582231830001,47.61472737132223,45.82433,49.96289080377307
E1-03-013,26.36523415,81.16454545,39.94758414537184,39.97197959840775,48.02291145689999,50.23749090841723,48.799885,49.42589760511091
E1-03-014,26.25310581,80.21818182,40.383835430026636,40.40581821084125,51.7375427338,50.496110543203365,51.547527,48.60267110296818
E1-03-015,26.16805784,79.56136364,40.71326501996453,40.733480343292655,51.51930551989997,49.768469637567684,50.871353,47.90786693035895
E1-03-016,26.04015938,78.97818182,41.19897797962879,41.21695009937929,50.350016340799975,49.51049505324488,50.457035,46.97745465424835
E1-03-017,25.9135534,78.89863636,41.667853311891065,41.6841151902254,50.3211555013,49.4697804558051,49.87351,46.25603583387486
E1-03-018,25.83680898,78.99818182,41.9485288651471,41.9639055399872,47.636318703399986,48.21992646806417,48.119858,45.87392082010259
E1-03-019,25.84806275,79.31409091,41.89944957731766,41.915294898035725,47.49119971199999,48.21992646806417,48.119858,46.106479802627895
E1-03-020,25.85697332,79.60772727,41.859546666520956,41.8758076552905,47.406116405099986,48.21992646806417,48.13005,46.3129053539402
E1-03-021,25.87905307,80.01909091,41.768249499223465,41.7852162633261,48.75743437499997,49.51049505324488,51.09322,46.65677118550191
E1-03-022,25.96079352,80.33363636,41.45922238654374,41.477563156364965,49.50238761109998,49.82904141486991,50.65195,47.29220282800963
E1-03-023,25.96693089,80.56681818,41.43099694033945,41.449655724209045,50.79327019889999,49.82904141486991,50.9532,47.44687146546916
E1-03-024,25.88720208,79.98409091,41.73903182091436,41.75606753335828,48.530222034399976,49.51049505324488,51.09322,46.68658766688485
E1-03-025,25.81381087,79.34045455,42.02515111679351,42.040582841353356,46.99597911319998,48.21992646806417,48.136368,45.9198337683252
E1-03-026,25.75326335,79.02454545,42.256043679452105,42.270372631286214,47.010774832599985,48.21992646806417,48.13074,45.40337608254578
E1-04-001,26.6701902,88.20181818,38.65413528295226,38.68966848030423,44.39581411600002,43.912028476136534,42.195553,51.4579729664256
E1-04-002,26.48703952,88.64090909,39.31913803844189,39.35276530316206,44.56077324440002,47.80615253662569,43.43659,51.538451906512705
E1-04-003,26.22515493,88.715,40.28328792185371,40.31362219834357,50.257217416800046,51.171526587705564,51.45663,51.07178614028728
E1-04-004,26.12261207,88.52772727,40.66599158247488,40.69481472782322,49.69890708360004,50.269715940248986,49.204517,50.68914854980216
E1-04-005,26.08258743,88.10136364,40.82383552930897,40.85170667366738,49.454246543900034,50.269715940248986,49.573536,50.478240475993445
E1-04-006,26.09715926,87.72590909,40.779087720376424,40.80676139880293,49.73555309870004,50.269715940248986,49.336143,50.50178674796664
E1-04-007,25.99787362,87.35681818,41.1541351472523,41.18015319354591,49.43383492260004,50.269715940248986,49.08602,49.962401699807806
E1-04-008,25.99000361,86.90681818,41.193947611623685,41.21940306958664,48.86686427680005,50.269715940248986,49.21145,49.844199098466255
E1-04-009,26.17964239,85.91545455,40.51825052730686,40.54512918431167,49.66622860430005,50.52769052457179,49.825024,50.53715260810572
E1-04-010,26.39156787,85.00090909,39.75851091286775,39.78717822558019,47.147880039100016,49.85938236566241,47.684803,50.92454633714566
E1-04-011,26.42746921,84.13681818,39.64680310603622,39.675046383678946,49.07647249280003,50.631224290500214,49.818714,50.740349168923196
E1-04-012,26.43499213,83.17954545,39.64199849016073,39.6693571344403,47.11525209380002,48.924166908343274,47.22816,50.429058676976624
E1-04-013,26.23379651,82.57636364,40.39853736215587,40.422689386009324,53.05582515530002,50.496110543203365,52.201252,49.66762910318294
E1-04-014,26.09767828,82.11681818,40.91160466951525,40.933534502472185,53.282265515400006,49.82904141486991,51.796032,48.88715874218859
E1-04-015,26.11234711,81.85818182,40.86369934520164,40.88555272378012,53.2616720942,49.82904141486991,51.42752,48.83975176632619
E1-04-016,26.16921354,81.58863636,40.66041538276,40.68272396302175,53.37322509000001,50.087015999192715,51.99899,48.969688888309065
E1-04-017,26.08883328,81.265,40.96464349904205,40.98558625126726,52.88580153579999,49.82904141486991,51.105877,48.443731622695765
E1-04-018,26.06288934,81.17954545,41.06238224551007,41.08290363929759,51.85624132629999,49.82904141486991,50.909122,48.27181541785193
E1-04-019,26.00041948,81.25954545,41.290876470629655,41.31067625405637,50.764833945399985,49.82904141486991,50.752697,47.97942274677659
E1-04-020,25.87010385,81.31909091,41.77010079353602,41.7882852117543,49.40926904259996,49.82904141486991,50.827793,47.246011174611425
E1-04-021,25.92763132,81.73954545,41.54784166640787,41.56719718820966,50.495886966300006,49.82904141486991,50.086514,47.789625419491585
E1-04-022,25.9426352,82.23363636,41.48066018269642,41.50071526732225,50.81461891180001,49.82904141486991,50.1966,48.10064099233475
E1-04-023,25.98432054,82.69727273,41.315797666574895,41.33686432840072,51.11345341929999,49.82904141486991,51.094357,48.54079558869485
E1-04-024,25.82922676,82.76227273,41.886282089499744,41.90542022601913,48.94608623960003,48.538472829689205,48.583748,47.622338516959694
E1-04-025,25.81027961,82.68863636,41.957930887687496,41.976749790355846,48.163119442299994,48.538472829689205,48.600258,47.469902902667926
E1-04-026,25.82555169,82.63590909,41.90286560086736,41.92182691053171,48.273468580599996,48.538472829689205,48.600258,47.547092355537764
E1-05-001,26.55294767,88.80954545,39.07200316161355,39.10665117333974,45.14214894360001,45.81274513801293,44.741837,51.552561281842564
E1-05-002,26.34682755,89.25363636,39.82160573075846,39.8540574514409,48.2331753684,50.91290695291943,50.202564,51.38642227797451
E1-05-003,25.99900123,89.32409091,41.102827116707104,41.13087654570795,49.43383492260004,50.50445745937211,50.60467,50.16659822656682
E1-05-004,25.978971,89.24681818,41.17855785924744,41.20627039334203,49.569745455400046,50.50445745937211,50.60467,50.05909278160346
E1-05-005,26.04558009,88.695,40.946104563808284,40.974108241410896,49.09182002830003,50.44257511552284,50.304516,50.35789524530642
E1-05-006,26.10310139,88.05727273,40.749229298082916,40.777319136384655,49.705292254100044,50.269715940248986,49.573536,50.565128074339796
E1-05-007,26.06320821,87.495,40.909845662463255,40.936845854905904,49.19472071540004,50.269715940248986,49.183247,50.314491094969995
E1-05-008,26.03298856,87.14954545,41.029586118826266,41.05584339324023,49.78708491750003,50.269715940248986,49.242447,50.11290844569401
E1-05-009,26.03031522,86.46409091,41.05587443805887,41.08139458392626,49.24000307140004,50.269715940248986,49.395306,49.9737803476005
E1-05-010,25.96807293,85.88409091,41.299347310679096,41.32347213202149,48.79451074010005,50.269715940248986,49.2991,49.50505524844021
E1-05-011,26.00396374,85.38863636,41.1788433528571,41.20292193507237,48.79104831010006,51.199931209519185,49.663525,49.579524052204164
E1-05-012,26.03527194,84.92818182,41.0744028930615,41.09841216685912,48.78866183810004,49.86218914199511,49.477394,49.61832592897862
E1-05-013,26.15488604,84.62318182,40.64053243444172,40.66576776275804,50.477343912900054,49.37974263495371,50.16564,50.09711756759723
E1-05-014,26.15950107,84.63636364,40.623194601193426,40.64850281257785,50.32403288780006,50.62147762537976,49.9049,50.12057974552918
E1-05-015,26.02969227,85.27727273,41.08661619502056,41.11091158370179,49.287764201900046,48.93325182479472,49.1492,49.68783088173309
E1-05-024,25.83287617,86.81636364,41.77565864124755,41.79900003813075,49.933615014800026,48.97914735506828,48.481045,48.88273853474461
E1-05-025,25.75723491,87.675,42.03407245103931,42.057321066872184,49.69162724860001,48.97914735506828,48.348732,48.5366127462504
E1-06-001,26.42517323,89.29227273,39.53171238873933,39.56521157795449,48.09991262710003,50.91290695291943,49.76947,51.4985876543412
E1-06-002,26.20948077,89.74454545,40.316425137758166,40.347613283121866,50.26631530720006,51.171526587705564,49.76739,51.04591784942951
E1-06-003,25.91227621,89.85409091,41.40999818602777,41.43747532696662,49.97148986610003,52.092075509657874,51.483116,49.724017787010546
E1-06-004,25.84302954,89.94727273,41.66317182621147,41.68985369244598,50.32115654100003,50.80150692447717,50.408207,49.32341126937422
E1-06-005,25.84669923,89.3,41.665149653100926,41.69121513362737,50.53019493750002,49.213888874191404,49.837166,49.30707644869369
E1-06-006,26.03878278,88.45227273,40.97699288144526,41.00466026923484,49.33193738300003,50.269715940248986,49.42064,50.30520646817056
E1-06-007,26.07909759,87.78,40.84440934756698,40.87190613105423,49.38531728250004,50.269715940248986,49.42064,50.426366252215765
E1-06-008,25.98571521,87.58772727,41.19344566033786,41.21954402926197,49.43383492260004,50.269715940248986,49.02682,49.931301494313885
E1-06-009,26.05104969,87.29545455,40.95947314723014,40.98611235258032,49.12384568180002,50.269715940248986,49.242447,50.22632737342757
